,b0,b1,b2
nt,NA,NA,NA
dvpi,NA,NA,NA
fbhcgT1,0.2233838,0.005761,0
afpT1,-0.1263,0,0
plgf,-0.19278,0,0
pappa,-0.419464,0.00776061,0.000271947
hcg,0.3118,0,0
fbhcgT2,0.4249,0,0
afpT2,-0.1308,0,0
ue3,-0.1549,0,0
inha,0.3384,0,0
fhr,1.3836,0,0
