nt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dvpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fbhcgT1,NA,NA,1,-0.4258,0.07988,0.386,NA,NA,NA,NA,NA,0.1901
afpT1,NA,NA,-0.4258,1,-0.1525,-0.3048,NA,NA,NA,NA,NA,0.0534
plgf,NA,NA,0.07988,-0.1525,1,0.2882,NA,NA,NA,NA,NA,0.0942
pappa,NA,NA,0.386,-0.3048,0.2882,1,NA,NA,NA,NA,NA,0.0624
hcg,NA,NA,NA,NA,NA,NA,1,NA,0.0642,0.0944,0.4293,NA
fbhcgT2,NA,NA,NA,NA,NA,NA,NA,1,0.1342,0.1226,0.4092,NA
afpT2,NA,NA,NA,NA,NA,NA,0.0642,0.1342,1,0.0923,0.2033,NA
ue3,NA,NA,NA,NA,NA,NA,0.0944,0.1226,0.0923,1,-0.0875,NA
inha,NA,NA,NA,NA,NA,NA,0.4293,0.4092,0.2033,-0.0875,1,NA
fhr,NA,NA,0.1901,0.0534,0.0942,0.0624,NA,NA,NA,NA,NA,1
