,b0,b1,b2
nt,NA,NA,NA
dvpi,NA,NA,NA
fbhcgT1,-0.6668,0,0
afpT1,-0.04431,0,0
plgf,-0.23445,0,0
pappa,-0.7149,0,0
hcg,-0.4437,0,0
fbhcgT2,-0.6021,0,0
afpT2,-0.1427,0,0
ue3,-0.3279,0,0
inha,0,0,0
fhr,-2.8089,0,0
