nt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dvpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fbhcgT1,NA,NA,1,-0.1501,-0.31757,0.2393,NA,NA,NA,NA,NA,-0.0617
afpT1,NA,NA,-0.1501,1,-0.1021,-0.1562,NA,NA,NA,NA,NA,-0.0537
plgf,NA,NA,-0.31757,-0.1021,1,0.1044,NA,NA,NA,NA,NA,-0.4614
pappa,NA,NA,0.2393,-0.1562,0.1044,1,NA,NA,NA,NA,NA,-0.2378
hcg,NA,NA,NA,NA,NA,NA,1,0.8651,-0.0416,-0.0416,0.4293,NA
fbhcgT2,NA,NA,NA,NA,NA,NA,0.8651,1,-0.0585,-0.0585,0.4092,NA
afpT2,NA,NA,NA,NA,NA,NA,-0.0416,-0.0585,1,0.1981,0.2033,NA
ue3,NA,NA,NA,NA,NA,NA,-0.0416,-0.0585,0.1981,1,-0.0875,NA
inha,NA,NA,NA,NA,NA,NA,0.4293,0.4092,0.2033,-0.0875,1,NA
fhr,NA,NA,-0.0617,-0.0537,-0.4614,-0.2378,NA,NA,NA,NA,NA,1
