nt,NA
dvpi,NA
fbhcgT1,0.2544
afpT1,0.1878
plgf,0.16324
pappa,0.2203
hcg,0.2276
fbhcgT2,0.2577
afpT2,0.1399
ue3,0.1142
inha,0.1779
fhr,5.8727
